epoch,kernel,input,filter,weight
1,3,1,3,2.516483270840143
1,3,1,4,1.5566750841159758
1,3,2,0,-2.2074700073844977
1,3,2,1,-3.513831112711712
1,3,2,2,-1.6158026514876562
1,3,2,3,-1.5021591709744413
1,3,2,4,-3.4441322855066
1,3,3,0,2.0364174219213815
1,3,3,1,2.875526755519115
1,3,3,2,-1.7590525118309295
1,3,3,3,1.6360370841460663
1,3,3,4,3.474852497750157
1,3,4,0,6.136430972264457
1,3,4,1,-2.4616327264535425
1,3,4,2,2.0136528349666345
1,3,4,3,2.86079787261047
1,3,4,4,3.3280735416097604
1,4,0,0,1.8232130950254166
1,4,0,1,2.2071978419354883
1,4,0,2,1.6391325077462533
1,4,0,3,3.3892913080927807
1,4,0,4,-1.7887703871115042
1,4,1,0,-3.1330667851339205
1,4,1,1,3.3487051752365193
1,4,1,2,1.9141239633814584
1,4,1,3,2.96231501262471
1,4,1,4,2.384892369071486
1,4,2,0,-3.0032832488515995
1,4,2,1,2.3723645718631463
1,4,2,2,4.507557471766908
1,4,2,3,-2.420427617718
1,4,2,4,1.6876607690313505
1,4,3,0,-4.825707871416386
1,4,3,1,1.5544878468109813
1,4,3,2,1.7227120848188489
1,4,3,3,-3.352052734872092
1,4,3,4,3.279887665686417
1,4,4,0,3.5716869701826672
1,4,4,1,4.0740726041558215
1,4,4,2,-3.9936605926553805
1,4,4,3,-2.084665802443163
1,4,4,4,-3.0236898823001175
1,5,0,0,-1.60059822604048
1,5,0,1,-3.00708671433875
1,5,0,2,-3.2115400629577664
1,5,0,3,1.7738797015631877
1,5,0,4,2.4654952878159317
1,5,1,0,1.5862282371946221
1,5,1,1,2.446948669330452
1,5,1,2,1.7805803065302983
1,5,1,3,1.7269019595236514
1,5,1,4,1.854976403871336
1,5,2,0,-3.6633127885897685
1,5,2,1,2.506250535581307
1,5,2,2,-2.0708987619922197
1,5,2,3,-2.703895889910874
1,5,2,4,-1.6802946551670237
1,5,3,0,1.8330499579490984
1,5,3,1,1.5441124763747263
1,5,3,2,-2.0868465755090515
1,5,3,3,-2.23088657580972
1,5,3,4,-1.7378174475085506
1,5,4,0,-1.8310740664880185
1,5,4,1,-1.58835732357718
1,5,4,2,-3.8277654950670255
1,5,4,3,2.7563438198296315
1,5,4,4,4.214296520318073
1,6,0,0,-1.7692793495830015
1,6,0,1,1.9579210557423579
1,6,0,2,1.7637307817993435
1,6,0,3,-4.032958910453186
1,6,0,4,-2.261544921592504
1,6,1,0,1.5967614029430492
1,6,1,1,-2.2038428460765886
1,6,1,2,1.8271027430013083
1,6,1,3,-4.0000632325086505
1,6,1,4,-3.6638933041127038
1,6,2,0,2.380691938590745
1,6,2,1,-3.305760149082529
1,6,2,2,-2.194610890152715
1,6,2,3,1.9676975683589542
1,6,2,4,-2.7428761448944843
1,6,3,0,1.6321828500396918
1,6,3,1,-1.9817393969764416
1,6,3,2,-2.3128869041639675
1,6,3,3,1.5104449326447467
1,6,3,4,2.7265606905564383
1,6,4,0,1.5658394575892618
1,6,4,1,2.550304228164095
1,6,4,2,-2.5471399381717763
1,6,4,3,4.181842694361469
1,6,4,4,1.5601935391541355
1,7,0,0,2.281160669323826
1,7,0,1,1.7839706752663926
1,7,0,2,1.5772733570370798
1,7,0,3,-2.0033730522421735
1,7,0,4,2.8275560872535292
1,7,1,0,-2.9230698973323235
1,7,1,1,1.6794745118785859
1,7,1,2,-2.091605549518016
1,7,1,3,-4.916716233976567
1,7,1,4,-2.6748197658299135
1,7,2,0,1.517323788201732
1,7,2,1,-3.344051165738803
1,7,2,2,2.152157659912559
1,7,2,3,-2.166494187609618
1,7,2,4,2.6018160954048306
1,7,3,0,1.6492058088131767
1,7,3,1,-1.6503894380988942
1,7,3,2,-2.104355745675677
1,7,3,3,1.7912851585610565
1,7,3,4,-1.7806307032319246
1,7,4,0,-3.6815702261535765
1,7,4,1,2.162116354612679
1,7,4,2,-2.8253329799836715
1,7,4,3,-1.6747900102087256
1,7,4,4,1.8207931771003225
1,8,0,0,-2.196583325245804
1,8,0,1,2.7916520293946023
1,8,0,2,2.6246172172593085
1,8,0,3,2.459052677128097
1,8,0,4,-2.687514234932602
1,8,1,0,-2.6149231591030455
1,8,1,1,-1.5873728156065035
1,8,1,2,-2.133474702787046
1,8,1,3,2.341658885530854
1,8,1,4,2.4056739028589735
